Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id
391051,HGNC:12575,urate oxidase (pseudogene),pseudogene,pseudogene,1p31.1,,
4237,HGNC:7033,microfibrillar associated protein 2,protein-coding gene,gene with protein product,1p36.1-p35,,
51643,HGNC:24257,transmembrane BAX inhibitor motif containing 4,protein-coding gene,gene with protein product,12q14.3,Transmembrane BAX inhibitor motif containing,1215
55110,HGNC:25504,"mago homolog B, exon junction complex core component",protein-coding gene,gene with protein product,12p13.2,,
7025,HGNC:7975,nuclear receptor subfamily 2 group F member 1,protein-coding gene,gene with protein product,5q14,Nuclear hormone receptors,71
713,HGNC:1242,"complement component 1, q subcomponent, B chain",protein-coding gene,gene with protein product,1p36.3-p34.1,Complement system,492
8174,HGNC:6765,mucosal vascular addressin cell adhesion molecule 1,protein-coding gene,gene with protein product,19p13.3,Immunoglobulin-like domain containing,594
91937,HGNC:25132,T-cell immunoglobulin and mucin domain containing 4,protein-coding gene,gene with protein product,5q33.3,V-set domain containing,590
9397,HGNC:7858,N-myristoyltransferase 2,protein-coding gene,gene with protein product,10p13,,
124925,HGNC:15955,seizure related 6 homolog,protein-coding gene,gene with protein product,17q11.2,Sushi domain containing,1179
192134,HGNC:24141,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",protein-coding gene,gene with protein product,11q13.4,Beta 3-glycosyltransferases,426
23024,HGNC:17704,PDZ domain containing ring finger 3,protein-coding gene,gene with protein product,3p14.1,Ring finger proteins|PDZ domain containing,58|1220
339231,HGNC:27902,ADP ribosylation factor like GTPase 16,protein-coding gene,gene with protein product,17q25.3,ARF GTPase family,357
341640,HGNC:25396,FRAS1 related extracellular matrix protein 2,protein-coding gene,gene with protein product,13q13.3,,
342667,HGNC:23990,SH3 and cysteine rich domain 2,protein-coding gene,gene with protein product,17q21.2,,
387509,HGNC:23618,G protein-coupled receptor 153,protein-coding gene,gene with protein product,1p36.31,"G protein-coupled receptors, Class A orphans",262
4232,HGNC:7028,mesoderm specific transcript,protein-coding gene,gene with protein product,7q32,,
5740,HGNC:9603,prostaglandin I2 (prostacyclin) synthase,protein-coding gene,gene with protein product,20q13,Cytochrome P450 family 8,1006
84630,HGNC:19140,tau tubulin kinase 1,protein-coding gene,gene with protein product,6p21.1,,
91662,HGNC:22938,"NLR family, pyrin domain containing 12",protein-coding gene,gene with protein product,19q13.42,NLR family|Pyrin domain containing,666|994
10000,HGNC:393,v-akt murine thymoma viral oncogene homolog 3,protein-coding gene,gene with protein product,1q44,Pleckstrin homology domain containing,682
100528016,HGNC:41992,TMX2-CTNND1 readthrough (NMD candidate),other,readthrough,11q12.1,,
101927134,HGNC:51105,long intergenic non-protein coding RNA 1470,non-coding RNA,"RNA, long non-coding",5q33.1,,
101927279,HGNC:50504,EP300 antisense RNA 1,non-coding RNA,"RNA, long non-coding",22q13.2,,
10641,HGNC:24969,"NPR2-like, GATOR1 complex subunit",protein-coding gene,gene with protein product,3p21.3,,
10659,HGNC:2550,"CUGBP, Elav-like family member 2",protein-coding gene,gene with protein product,10p13,RNA binding motif containing,725
10718,HGNC:7999,neuregulin 3,protein-coding gene,gene with protein product,10q23.1,,
10752,HGNC:1939,cell adhesion molecule L1 like,protein-coding gene,gene with protein product,3p26,Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing,555|593|594
10806,HGNC:10671,serologically defined colon cancer antigen 8,protein-coding gene,gene with protein product,1q43,Bardet-Biedl syndrome associated,980
1108,HGNC:1919,chromodomain helicase DNA binding protein 4,protein-coding gene,gene with protein product,12p13,PHD finger proteins,88
1116,HGNC:1932,chitinase 3 like 1,protein-coding gene,gene with protein product,1q32.1,Chitinases,816
115111,HGNC:14467,solute carrier family 26 member 7,protein-coding gene,gene with protein product,8q23,Solute carriers,752
116369,HGNC:14468,solute carrier family 26 member 8,protein-coding gene,gene with protein product,6p21,Solute carriers,752
1182,HGNC:2021,chloride voltage-gated channel 3,protein-coding gene,gene with protein product,4q33,Chloride voltage-gated channels,302
119749,HGNC:31271,olfactory receptor family 4 subfamily C member 46,protein-coding gene,gene with protein product,11p11.12,"Olfactory receptors, family 4",151
131177,HGNC:18665,family with sequence similarity 3 member D,protein-coding gene,gene with protein product,3p21.1,,
132200,HGNC:25190,chromosome 3 open reading frame 49,other,unknown,3p14.1,,
133482,HGNC:23613,solute carrier organic anion transporter family member 6A1,protein-coding gene,gene with protein product,5q21.2,Solute carriers,752
146279,HGNC:26554,tektin 5,protein-coding gene,gene with protein product,16p13.13,Tektins,949
147657,HGNC:23305,zinc finger protein 480,protein-coding gene,gene with protein product,19q13.41,Zinc fingers C2H2-type,28
147929,HGNC:26726,zinc finger protein 565,protein-coding gene,gene with protein product,19q13.12,Zinc fingers C2H2-type,28
160777,HGNC:28610,coiled-coil domain containing 60,protein-coding gene,gene with protein product,12q24.23,,
166378,HGNC:18119,spermatogenesis associated 5,protein-coding gene,gene with protein product,4q28.1,AAA ATPases,413
1739,HGNC:2900,"discs large homolog 1, scribble cell polarity complex component",protein-coding gene,gene with protein product,3q29,Membrane-associated guanylate kinases|PDZ domain containing|Scribble complex,904|1220|1224
1815,HGNC:3025,dopamine receptor D4,protein-coding gene,gene with protein product,11p15.5,Dopamine receptors,181
1983,HGNC:3299,eukaryotic translation initiation factor 5,protein-coding gene,gene with protein product,14q32.32,,
203062,HGNC:26437,t-SNARE domain containing 1,protein-coding gene,gene with protein product,8q24.3,,
2107,HGNC:3477,eukaryotic translation termination factor 1,protein-coding gene,gene with protein product,5q31.2,,
220988,HGNC:24941,heterogeneous nuclear ribonucleoprotein A3,protein-coding gene,gene with protein product,2q31.2,RNA binding motif containing,725
221393,HGNC:19011,adhesion G protein-coupled receptor F4,protein-coding gene,gene with protein product,6p12.3,"Adhesion G protein-coupled receptors, subfamily F",916
222698,HGNC:21584,NFKB activating protein like,protein-coding gene,gene with protein product,6p21.33,,
22906,HGNC:29947,"trafficking protein, kinesin binding 1",protein-coding gene,gene with protein product,3p22.1,,
22978,HGNC:8022,"5'-nucleotidase, cytosolic II",protein-coding gene,gene with protein product,10q24.32,5'-nucleotidases,1042
22997,HGNC:32326,immunoglobulin superfamily member 9B,protein-coding gene,gene with protein product,11q25,Fibronectin type III domain containing|V-set domain containing|I-set domain containing|Immunoglobulin-like domain containing,555|590|593|594
23314,HGNC:21637,SATB homeobox 2,protein-coding gene,gene with protein product,2q33.1,CUT class homeoboxes and pseudogenes,527
23339,HGNC:20593,"VPS39, HOPS complex subunit",protein-coding gene,gene with protein product,15q14,,
23731,HGNC:1363,transmembrane protein 245,protein-coding gene,gene with protein product,9q31,,
23780,HGNC:619,apolipoprotein L2,protein-coding gene,gene with protein product,22q12.3,Apolipoproteins,405
255101,HGNC:25325,cilia and flagella associated protein 65,protein-coding gene,gene with protein product,2q35,,
2559,HGNC:4080,gamma-aminobutyric acid type A receptor alpha6 subunit,protein-coding gene,gene with protein product,5q34,Gamma-aminobutyric acid type A receptor subunits,563
2561,HGNC:4082,gamma-aminobutyric acid type A receptor beta2 subunit,protein-coding gene,gene with protein product,5q34,Gamma-aminobutyric acid type A receptor subunits,563
2563,HGNC:4084,gamma-aminobutyric acid type A receptor delta subunit,protein-coding gene,gene with protein product,1p36.3,Gamma-aminobutyric acid type A receptor subunits,563
2572,HGNC:4093,glutamate decarboxylase 2,protein-coding gene,gene with protein product,10p13-p11.2,,
25791,HGNC:7807,neuronal guanine nucleotide exchange factor,protein-coding gene,gene with protein product,2q37,Rho guanine nucleotide exchange factors,722
25874,HGNC:24515,mitochondrial pyruvate carrier 2,protein-coding gene,gene with protein product,1q24,,
259173,HGNC:20605,ALS2 C-terminal like,protein-coding gene,gene with protein product,3p21.31,VPS9 domain containing,928
26051,HGNC:15850,protein phosphatase 1 regulatory subunit 16B,protein-coding gene,gene with protein product,20q11.23,Ankyrin repeat domain containing|Protein phosphatase 1 regulatory subunits,403|694
26058,HGNC:11960,GRB10 interacting GYF protein 2,protein-coding gene,gene with protein product,2q37.1,Trinucleotide repeat containing,775
267012,HGNC:21191,D-amino acid oxidase activator,protein-coding gene,gene with protein product,13q33.2,,
2694,HGNC:4268,gastric intrinsic factor,protein-coding gene,gene with protein product,11q12.1,,
27257,HGNC:20472,"LSM1 homolog, mRNA degradation associated",protein-coding gene,gene with protein product,8p11.2,,
280636,HGNC:18251,chromosome 11 open reading frame 31,protein-coding gene,gene with protein product,11q12.1,,
2823,HGNC:4460,glycoprotein M6A,protein-coding gene,gene with protein product,4q34,,
2887,HGNC:4564,growth factor receptor bound protein 10,protein-coding gene,gene with protein product,7p12.2,Pleckstrin homology domain containing|SH2 domain containing,682|741
2901,HGNC:4583,glutamate ionotropic receptor kainate type subunit 5,protein-coding gene,gene with protein product,19q13.2,Glutamate ionotropic receptor kainate type subunits,1199
2904,HGNC:4586,glutamate ionotropic receptor NMDA type subunit 2B,protein-coding gene,gene with protein product,12p13.1,Glutamate ionotropic receptor NMDA type subunits,1201
2906,HGNC:4588,glutamate ionotropic receptor NMDA type subunit 2D,protein-coding gene,gene with protein product,19q13.33,Glutamate ionotropic receptor NMDA type subunits,1201
29115,HGNC:30785,SAP30 binding protein,protein-coding gene,gene with protein product,17q25.1,,
2989,HGNC:4695,"gulonolactone (L-) oxidase, pseudogene",pseudogene,pseudogene,8p21.1,,
3094,HGNC:4912,histidine triad nucleotide binding protein 1,protein-coding gene,gene with protein product,5q31.2,,
319100,HGNC:20978,trace amine associated receptor 6,protein-coding gene,gene with protein product,6q23.1,Trace amine receptors,188
339230,HGNC:33451,coiled-coil domain containing 137,protein-coding gene,gene with protein product,17q25.3,,
347689,HGNC:20209,SOX2 overlapping transcript,non-coding RNA,"RNA, long non-coding",3q26.33,Long non-coding RNAs,788
348327,HGNC:29297,zinc finger protein 530,protein-coding gene,gene with protein product,19q13.43,Zinc fingers C2H2-type,28
348751,HGNC:48661,formiminotransferase cyclodeaminase N-terminal like,other,unknown,2q33.1,,
3632,HGNC:6076,inositol polyphosphate-5-phosphatase A,protein-coding gene,gene with protein product,10q26.3,Phosphoinositide phosphatases,1079
3700,HGNC:6169,inter-alpha-trypsin inhibitor heavy chain family member 4,protein-coding gene,gene with protein product,3p21.1,,
3703,HGNC:6172,"STT3A, catalytic subunit of the oligosaccharyltransferase complex",protein-coding gene,gene with protein product,11q23.3,STT3 oligosaccharyltransferase catalytic subunits|Oligosaccharyltransferase complex subunits,444|445
3836,HGNC:6394,karyopherin subunit alpha 1,protein-coding gene,gene with protein product,3q21,Armadillo repeat containing|Importins,409|596
387032,HGNC:13854,zinc finger with KRAB and SCAN domains 4,protein-coding gene,gene with protein product,6p21,Zinc fingers C2H2-type,28
400765,HGNC:42871,MIR137 host gene,non-coding RNA,"RNA, long non-coding",1p21.3,,
406928,HGNC:31523,microRNA 137,non-coding RNA,"RNA, micro",1p21.3,MicroRNAs,476
407025,HGNC:31620,microRNA 29b-2,non-coding RNA,"RNA, micro",1q32.2,MicroRNAs,476
407026,HGNC:31621,microRNA 29c,non-coding RNA,"RNA, micro",1q32.2,MicroRNAs,476
4124,HGNC:6824,mannosidase alpha class 2A member 1,protein-coding gene,gene with protein product,5q21.3,Mannosidases alpha class 2,1194
4160,HGNC:6932,melanocortin 4 receptor,protein-coding gene,gene with protein product,18q22,Melanocortin receptors,236
4775,HGNC:7777,nuclear factor of activated T-cells 3,protein-coding gene,gene with protein product,16q22,Nuclear factors of activated T-cells,665
488,HGNC:812,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,protein-coding gene,gene with protein product,12q24.11,ATPases Ca2+ transporting,1209
4900,HGNC:8000,neurogranin,protein-coding gene,gene with protein product,11q24,,
5062,HGNC:8591,p21 protein (Cdc42/Rac)-activated kinase 2,protein-coding gene,gene with protein product,3q29,,
5108,HGNC:8727,pericentriolar material 1,protein-coding gene,gene with protein product,8p22-p21.3,,
51150,HGNC:24188,stromal cell derived factor 4,protein-coding gene,gene with protein product,1p36.33,EF-hand domain containing,863
5286,HGNC:8971,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,protein-coding gene,gene with protein product,11p15.5-p14,Phosphatidylinositol 3-kinase subunits,831
5362,HGNC:9100,plexin A2,protein-coding gene,gene with protein product,1q32.2,Plexins,683
54659,HGNC:12535,UDP glucuronosyltransferase family 1 member A3,other,complex locus constituent,2q37,UDP glucuronosyltransferases,363
55206,HGNC:22973,strawberry notch homolog 1 (Drosophila),protein-coding gene,gene with protein product,12q24.31,,
55366,HGNC:13299,leucine-rich repeat containing G protein-coupled receptor 4,protein-coding gene,gene with protein product,11p14-p13,"G protein-coupled receptors, Class A orphans",262
55568,HGNC:19873,polypeptide N-acetylgalactosaminyltransferase 10,protein-coding gene,gene with protein product,5q34,Polypeptide N-acetylgalactosaminyltransferases,433
55733,HGNC:18270,hedgehog acyltransferase,protein-coding gene,gene with protein product,1q32,Membrane bound O-acyltransferases,1036
55737,HGNC:13487,VPS35 retromer complex component,protein-coding gene,gene with protein product,16q12,Parkinson disease associated genes,672
55741,HGNC:15877,ER degradation enhancing alpha-mannosidase like protein 2,protein-coding gene,gene with protein product,20q11.22,,
55824,HGNC:30043,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,protein-coding gene,gene with protein product,8q21.13,,
5625,HGNC:9453,proline dehydrogenase (oxidase) 1,protein-coding gene,gene with protein product,22q11.2,,
5639,HGNC:9470,proline rich Gla (G-carboxyglutamic acid) 2,protein-coding gene,gene with protein product,19q13.33,,
56957,HGNC:16683,OTU deubiquitinase 7B,protein-coding gene,gene with protein product,1q21.2,OTU domain containing,669
57142,HGNC:14085,reticulon 4,protein-coding gene,gene with protein product,2p16.1,,
57188,HGNC:14633,ADAMTS like 3,protein-coding gene,gene with protein product,15q25.2,I-set domain containing|Immunoglobulin-like domain containing|ADAMTS-like,593|594|947
57412,HGNC:17452,arsenite methyltransferase,protein-coding gene,gene with protein product,10q24.33,,
57688,HGNC:29316,zinc finger SWIM-type containing 6,protein-coding gene,gene with protein product,5q12.1,Zinc fingers SWIM-type,90
5973,HGNC:9959,renin binding protein,protein-coding gene,gene with protein product,Xq28,,
5999,HGNC:10000,regulator of G-protein signaling 4,protein-coding gene,gene with protein product,1q23.3,Regulators of G-protein signaling,720
6002,HGNC:9994,regulator of G-protein signaling 12,protein-coding gene,gene with protein product,4p16.3,Regulators of G-protein signaling|PDZ domain containing,720|1220
60493,HGNC:25790,FAST kinase domains 5,protein-coding gene,gene with protein product,20p13,,
607,HGNC:1008,B-cell CLL/lymphoma 9,protein-coding gene,gene with protein product,1q21,,
63826,HGNC:14398,serine racemase,protein-coding gene,gene with protein product,17p13,,
641372,HGNC:33159,acyl-CoA thioesterase 6,protein-coding gene,gene with protein product,14q24.3,Acyl-CoA thioesterases,41
6472,HGNC:10852,serine hydroxymethyltransferase 2,protein-coding gene,gene with protein product,12q12-q14,,
65078,HGNC:18601,reticulon 4 receptor,protein-coding gene,gene with protein product,22q11,,
6529,HGNC:11042,solute carrier family 6 member 1,protein-coding gene,gene with protein product,3p25.3,Solute carriers,752
6733,HGNC:11306,SRSF protein kinase 2,protein-coding gene,gene with protein product,7q22-q31.1,,
6854,HGNC:11495,synapsin II,protein-coding gene,gene with protein product,3p25.2,,
6942,HGNC:11631,transcription factor 20 (AR1),protein-coding gene,gene with protein product,22q13.3,,
7166,HGNC:12008,tryptophan hydroxylase 1,protein-coding gene,gene with protein product,11p15.3-p14,,
7434,HGNC:12695,vasoactive intestinal peptide receptor 2,protein-coding gene,gene with protein product,7q36.3,Vasoactive intestinal peptide receptor family,264
7444,HGNC:12719,vaccinia related kinase 2,protein-coding gene,gene with protein product,2p16.1,,
7726,HGNC:12962,tripartite motif containing 26,protein-coding gene,gene with protein product,6p21.3,Ring finger proteins|Tripartite motif-containing,58|59
79018,HGNC:28453,GID complex subunit 4 homolog,protein-coding gene,gene with protein product,17p11.2,,
80145,HGNC:29874,THO complex 7,protein-coding gene,gene with protein product,3p14.1,THO complex,770
80832,HGNC:14867,apolipoprotein L4,protein-coding gene,gene with protein product,22q11.2-q13.2,Apolipoproteins,405
8295,HGNC:12347,transformation/transcription domain associated protein,protein-coding gene,gene with protein product,7q21.2-q22.1,SAGA complex,1059
837,HGNC:1505,caspase 4,protein-coding gene,gene with protein product,11q22.2-q22.3,Caspases|Caspase recruitment domain containing,468|959
83857,HGNC:24099,transmembrane and tetratricopeptide repeat containing 1,protein-coding gene,gene with protein product,12p11.22,Tetratricopeptide repeat domain containing,769
84062,HGNC:17328,dystrobrevin binding protein 1,protein-coding gene,gene with protein product,6p22.3,Biogenesis of lysosomal organelles complex 1,452
84334,HGNC:20492,"apoptogenic 1, mitochondrial",protein-coding gene,gene with protein product,14q32.33,,
8452,HGNC:2553,cullin 3,protein-coding gene,gene with protein product,2q36.2,Cullins,1032
84547,HGNC:19398,piggyBac transposable element derived 1,protein-coding gene,gene with protein product,6p22.1,,
84678,HGNC:13610,lysine demethylase 2B,protein-coding gene,gene with protein product,12q24.31,PHD finger proteins|Zinc fingers CXXC-type|Lysine (K)-specific demethylases|F-box and leucine-rich repeat proteins,88|136|485|558
8542,HGNC:618,apolipoprotein L1,protein-coding gene,gene with protein product,22q13.1,Apolipoproteins,405
90139,HGNC:20660,tetraspanin 18,protein-coding gene,gene with protein product,11p11.2,Tetraspanins,768
90273,HGNC:28834,carcinoembryonic antigen related cell adhesion molecule 21,protein-coding gene,gene with protein product,19q13.2,V-set domain containing|Immunoglobulin-like domain containing|Carcinoembryonic antigen family,590|594|906
90952,HGNC:17474,endothelial cell adhesion molecule,protein-coding gene,gene with protein product,11q24.2,V-set domain containing|Immunoglobulin-like domain containing,590|594
9162,HGNC:2855,diacylglycerol kinase iota,protein-coding gene,gene with protein product,7q32.3-q33,Ankyrin repeat domain containing|Diacylglycerol kinases,403|1178
92017,HGNC:30542,sorting nexin 29,protein-coding gene,gene with protein product,16p13.13-p13.12,Sorting nexins,754
94026,HGNC:13973,POM121 transmembrane nucleoporin like 2,protein-coding gene,gene with protein product,6p21.3,,
9508,HGNC:219,ADAM metallopeptidase with thrombospondin type 1 motif 3,protein-coding gene,gene with protein product,4q21,ADAM metallopeptidases with thrombospondin type 1 motif,50
9600,HGNC:9003,phosphatidylinositol transfer protein membrane associated 1,protein-coding gene,gene with protein product,11q13,Phosphatidylinositol transfer proteins,1151
9628,HGNC:10002,regulator of G-protein signaling 6,protein-coding gene,gene with protein product,14q24.3,Regulators of G-protein signaling,720
9638,HGNC:3659,fasciculation and elongation protein zeta 1,protein-coding gene,gene with protein product,11q24.2,,
9651,HGNC:29037,phospholipase C eta 2,protein-coding gene,gene with protein product,1p36.32,Phospholipases|EF-hand domain containing,467|863
9685,HGNC:23186,clathrin interactor 1,protein-coding gene,gene with protein product,5q33.3,,
9745,HGNC:29025,zinc finger protein 536,protein-coding gene,gene with protein product,19q13.11,Zinc fingers C2H2-type,28
9821,HGNC:15574,RB1 inducible coiled-coil 1,protein-coding gene,gene with protein product,8q11,Protein phosphatase 1 regulatory subunits|Autophagy related,694|1022
9839,HGNC:14881,zinc finger E-box binding homeobox 2,protein-coding gene,gene with protein product,2q22.3,Zinc fingers C2H2-type|ZF class homeoboxes and pseudogenes,28|529
9947,HGNC:6812,MAGE family member C1,protein-coding gene,gene with protein product,Xq26,MAGE family,1136
9993,HGNC:2845,DiGeorge syndrome critical region gene 2,protein-coding gene,gene with protein product,22q11.21,,
84676,HGNC:16007,tripartite motif containing 63,protein-coding gene,gene with protein product,1p34-p33,Ring finger proteins|Tripartite motif-containing,58|59
100128977,HGNC:43738,MAPT antisense RNA 1,non-coding RNA,"RNA, long non-coding",17q21.31,,
255520,HGNC:28111,ELMO domain containing 2,protein-coding gene,gene with protein product,4q31.1,,
5073,HGNC:8609,poly(A)-specific ribonuclease,protein-coding gene,gene with protein product,16p13,,
51750,HGNC:15888,regulator of telomere elongation helicase 1,protein-coding gene,gene with protein product,20q13.3,DNA helicases,1167
54472,HGNC:16476,toll interacting protein,protein-coding gene,gene with protein product,11p,C2 domain containing,823
653509,HGNC:10798,surfactant protein A1,protein-coding gene,gene with protein product,10q22.3,Collectins,491
727897,HGNC:7516,"mucin 5B, oligomeric mucus/gel-forming",protein-coding gene,gene with protein product,11p15.5,Mucins,648
729238,HGNC:10799,surfactant protein A2,protein-coding gene,gene with protein product,10q22.3,Collectins,491
57724,HGNC:29331,ectopic P-granules autophagy protein 5 homolog (C. elegans),protein-coding gene,gene with protein product,18q12.3,,
727,HGNC:1331,complement component 5,protein-coding gene,gene with protein product,9q33-q34,"Complement system|Endogenous ligands|C3 and PZP like, alpha-2-macroglobulin domain containing",492|542|1234
731,HGNC:1352,complement component 8 alpha subunit,protein-coding gene,gene with protein product,1p32.2,Complement system,492
7535,HGNC:12858,zeta chain of T cell receptor associated protein kinase 70kDa,protein-coding gene,gene with protein product,2q11-q13,SH2 domain containing,741
8547,HGNC:3625,ficolin 3,protein-coding gene,gene with protein product,1p36.11,Fibrinogen C domain containing,554
131669,HGNC:26444,urocanate hydratase 1,protein-coding gene,gene with protein product,3q21.2,,
1960,HGNC:3240,early growth response 3,protein-coding gene,gene with protein product,8p23-p21,Zinc fingers C2H2-type,28
22,HGNC:48,ATP binding cassette subfamily B member 7,protein-coding gene,gene with protein product,Xq13.3,ATP binding cassette subfamily B,806
372,HGNC:649,archain 1,protein-coding gene,gene with protein product,11q23.3,,
785,HGNC:1404,calcium voltage-gated channel auxiliary subunit beta 4,protein-coding gene,gene with protein product,2q23.3,"Calcium channels, voltage-dependent|Membrane-associated guanylate kinases",253|904
1794,HGNC:2988,dedicator of cytokinesis 2,protein-coding gene,gene with protein product,5q35.1,,
23111,HGNC:18514,spastic paraplegia 20 (Troyer syndrome),protein-coding gene,gene with protein product,13q13.1,,
23373,HGNC:16062,CREB regulated transcription coactivator 1,protein-coding gene,gene with protein product,19p13,,
4745,HGNC:7750,neural EGFL like 1,protein-coding gene,gene with protein product,11p15.1,,
56033,HGNC:955,BARX homeobox 1,protein-coding gene,gene with protein product,9q22.32,NKL subclass homeoboxes and pseudogenes,519
10002,HGNC:7974,nuclear receptor subfamily 2 group E member 3,protein-coding gene,gene with protein product,15q23,Nuclear hormone receptors,71
10210,HGNC:21653,TOP1 binding arginine/serine rich protein,protein-coding gene,gene with protein product,9p21,Ring finger proteins,58
123016,HGNC:20087,tetratricopeptide repeat domain 8,protein-coding gene,gene with protein product,14q31.3,Tetratricopeptide repeat domain containing|Bardet-Biedl syndrome associated|BBSome,769|980|1122
1258,HGNC:2151,cyclic nucleotide gated channel beta 1,protein-coding gene,gene with protein product,16q13,Cyclic nucleotide gated channels,250
1259,HGNC:2148,cyclic nucleotide gated channel alpha 1,protein-coding gene,gene with protein product,4p12,Cyclic nucleotide gated channels,250
130557,HGNC:26498,zinc finger protein 513,protein-coding gene,gene with protein product,2p23.3,Zinc fingers C2H2-type,28
138050,HGNC:26527,heparan-alpha-glucosaminide N-acetyltransferase,protein-coding gene,gene with protein product,8p11.1,,
1406,HGNC:2383,cone-rod homeobox,protein-coding gene,gene with protein product,19q13.3,PRD class homeoboxes and pseudogenes,521
145226,HGNC:19977,retinol dehydrogenase 12 (all-trans/9-cis/11-cis),protein-coding gene,gene with protein product,14q24.1,Short chain dehydrogenase/reductase superfamily,743
23020,HGNC:30859,small nuclear ribonucleoprotein U5 subunit 200,protein-coding gene,gene with protein product,2q11.2,RNA helicases,1168
23418,HGNC:2343,"crumbs 1, cell polarity complex component",protein-coding gene,gene with protein product,1q31.3,Crumbs complex,1223
23568,HGNC:17146,ADP ribosylation factor like GTPase 2 binding protein,protein-coding gene,gene with protein product,16q13,,
23746,HGNC:359,aryl hydrocarbon receptor interacting protein like 1,protein-coding gene,gene with protein product,17p13.1,FKBP prolyl isomerases,910
24148,HGNC:15860,pre-mRNA processing factor 6,protein-coding gene,gene with protein product,20q13.33,,
25794,HGNC:3960,"fascin actin-bundling protein 2, retinal",protein-coding gene,gene with protein product,17q25,Fascins,3
26121,HGNC:15446,pre-mRNA processing factor 31,protein-coding gene,gene with protein product,19q13.4,,
26160,HGNC:30391,intraflagellar transport 172,protein-coding gene,gene with protein product,2p23.3,WD repeat domain containing|Intraflagellar transport proteins,362|615
2979,HGNC:4679,guanylate cyclase activator 1B,protein-coding gene,gene with protein product,6p21.1,EF-hand domain containing,863
3000,HGNC:4689,"guanylate cyclase 2D, retinal",protein-coding gene,gene with protein product,17p13.1,Guanylate cyclase receptors,343
3420,HGNC:5385,isocitrate dehydrogenase 3 (NAD+) beta,protein-coding gene,gene with protein product,20p13,,
346007,HGNC:21555,eyes shut homolog (Drosophila),protein-coding gene,gene with protein product,6q12,,
3614,HGNC:6052,IMP (inosine 5'-monophosphate) dehydrogenase 1,protein-coding gene,gene with protein product,7q31.3-q32,,
375298,HGNC:21699,ceramide kinase like,protein-coding gene,gene with protein product,2q31.3,,
388939,HGNC:34383,chromosome 2 open reading frame 71,protein-coding gene,gene with protein product,2p23.2,,
4117,HGNC:6816,male germ cell associated kinase,protein-coding gene,gene with protein product,6p24.2,,
4647,HGNC:7606,myosin VIIA,protein-coding gene,gene with protein product,11q13.5,"A-kinase anchoring proteins|Myosins, class VII",396|1102
4751,HGNC:7745,NIMA related kinase 2,protein-coding gene,gene with protein product,1q32.3,Protein phosphatase 1 regulatory subunits,694
4901,HGNC:8002,neural retina leucine zipper,protein-coding gene,gene with protein product,14q11.1-q11.2,,
50939,HGNC:18362,interphotoreceptor matrix proteoglycan 2,protein-coding gene,gene with protein product,3q12.2-q12.3,,
5145,HGNC:8785,phosphodiesterase 6A,protein-coding gene,gene with protein product,5q31.2-q34,Phosphodiesterases,681
5148,HGNC:8789,phosphodiesterase 6G,protein-coding gene,gene with protein product,17q21.1,Phosphodiesterases,681
5158,HGNC:8786,phosphodiesterase 6B,protein-coding gene,gene with protein product,4p16.3,Phosphodiesterases,681
55812,HGNC:20423,spermatogenesis associated 7,protein-coding gene,gene with protein product,14q31.3,,
55857,HGNC:15865,kizuna centrosomal protein,protein-coding gene,gene with protein product,20p11.23,,
55975,HGNC:15646,kelch like family member 7,protein-coding gene,gene with protein product,7p15.3,Kelch-like|BTB domain containing,617|861
57709,HGNC:29326,solute carrier family 7 member 14,protein-coding gene,gene with protein product,3q26.2,Protein phosphatase 1 regulatory subunits|Solute carriers,694|752
583,HGNC:967,Bardet-Biedl syndrome 2,protein-coding gene,gene with protein product,16q21,Bardet-Biedl syndrome associated|BBSome,980|1122
5949,HGNC:9921,retinol binding protein 3,protein-coding gene,gene with protein product,10q11.2,,
5961,HGNC:9942,"peripherin 2 (retinal degeneration, slow)",protein-coding gene,gene with protein product,6p21.1,Tetraspanins,768
5995,HGNC:9990,retinal G protein coupled receptor,protein-coding gene,gene with protein product,10q23,Opsin receptors,215
6010,HGNC:10012,rhodopsin,protein-coding gene,gene with protein product,3q22.1,Opsin receptors,215
6017,HGNC:10024,retinaldehyde binding protein 1,protein-coding gene,gene with protein product,15q26.1,,
6094,HGNC:10254,retinal outer segment membrane protein 1,protein-coding gene,gene with protein product,11q13,Tetraspanins,768
6100,HGNC:10288,retinitis pigmentosa 9 (autosomal dominant),protein-coding gene,gene with protein product,7p14.3,,
6101,HGNC:10263,retinitis pigmentosa 1 (autosomal dominant),protein-coding gene,gene with protein product,8q12.1,,
6102,HGNC:10274,retinitis pigmentosa 2 (X-linked recessive),protein-coding gene,gene with protein product,Xp11.3,,
6103,HGNC:10295,retinitis pigmentosa GTPase regulator,protein-coding gene,gene with protein product,Xp11.4,,
6295,HGNC:10521,S-antigen; retina and pineal gland (arrestin),protein-coding gene,gene with protein product,2q37.1,,
